time,10000.0,15000.0,20000.0,25000.0,30000.0,35000.0,40000.0,45000.0,50000.0,55000.0,60000.0,65000.0,70000.0,75000.0,80000.0,85000.0,90000.0,95000.0,100000.0
2021-06-25 00:00:00,-4.594945931778457e-10,-2.0442788665094376e-09,-1.2390016356842041e-08,-7.209896740637422e-09,6.1364922371301864e-09,1.52376937394575e-08,1.0953954947404348e-08,1.8108529658440167e-08,4.135819513625089e-08,4.5523309162943344e-08,3.398747406204633e-08,-8.364000948751789e-09,-4.5688466873819916e-08,-9.360293617875278e-08,-2.3470083762900026e-07,-4.6943163158715633e-07,-5.646978380895534e-07,-4.028198729363583e-07,-2.8042298326118233e-07
2021-06-25 01:00:00,8.034920299268128e-07,1.9853331222700967e-05,7.654522858599505e-06,1.7945831968486096e-05,2.8910418124279096e-05,2.6129576213941955e-05,2.1765388868216903e-05,1.9026968260258363e-05,1.6222875200463356e-05,1.3713192126410605e-05,1.0980827467291245e-05,8.72959248848148e-06,7.5002340285332e-06,6.537889111330592e-06,5.871168035599434e-06,5.683851411152257e-06,4.946075550201484e-06,2.182636064220213e-06,-4.296682762701005e-07
2021-06-25 02:00:00,-4.689873612989416e-06,2.343215635012283e-05,9.087800974882814e-06,1.4845209842293326e-05,2.516499278458835e-05,2.4894633564934747e-05,2.1183961567010173e-05,1.8818479259541316e-05,1.6391774934782837e-05,1.3664884035408567e-05,1.098480229648612e-05,9.256270331097259e-06,7.980862539861888e-06,6.849939490961136e-06,6.123647061032166e-06,5.8040754599047625e-06,4.951902135006476e-06,2.00466322212812e-06,-7.648856349459807e-07
2021-06-25 03:00:00,2.3645187239536213e-06,2.4342570306795338e-05,2.3772792684983203e-06,1.46653347952608e-05,2.4458129124730726e-05,2.473182699556135e-05,2.102089782518656e-05,1.70537109068033e-05,1.407790157832797e-05,1.2094800214146458e-05,1.0516685774259794e-05,9.067333817989572e-06,7.899486632267367e-06,6.940597406982576e-06,6.442194449040347e-06,6.013669365151498e-06,5.0417410303709965e-06,2.0087593859835002e-06,-8.506828039942563e-07
2021-06-25 04:00:00,6.536978476179923e-06,3.0194953525380537e-05,-2.766152607525266e-06,1.3158620523789761e-05,1.912812471848316e-05,2.0538837600574703e-05,1.715655922338783e-05,1.3646842427179636e-05,1.1517841334676284e-05,1.0857436377859904e-05,1.0154352841778503e-05,9.16726222801502e-06,8.020964214364288e-06,6.9423616652785374e-06,6.29012188822243e-06,6.0251192263670585e-06,5.083131434722942e-06,2.017979065494146e-06,-8.736450160704772e-07
2021-06-25 05:00:00,8.040497522101965e-06,2.6160032416921107e-05,-3.9591790357731035e-06,1.0887245356128551e-05,1.5477932881362258e-05,1.785985013476227e-05,1.583564023503038e-05,1.3534791238042323e-05,1.1881359834098977e-05,1.107105392856703e-05,9.771122953071905e-06,8.593947783841651e-06,7.885416478741778e-06,7.041124522344562e-06,5.982592896277958e-06,5.88008926712589e-06,5.2163418543034605e-06,2.2127768752227878e-06,-8.314452636662563e-07
2021-06-25 06:00:00,7.974114036066438e-06,2.4509062713751976e-05,-4.105171127652768e-06,1.13582307462901e-05,1.3135128404169601e-05,1.5373191744489027e-05,1.4455420588862796e-05,1.2450358602511947e-05,1.1542607801678598e-05,1.0879683814483188e-05,9.342413721693048e-06,8.329656561264585e-06,7.594247384294934e-06,6.603417682073983e-06,5.6457977142859306e-06,5.774507200997128e-06,5.3520002820257495e-06,2.3647547939296263e-06,-7.665498803706081e-07
2021-06-25 07:00:00,5.8019747724859e-06,2.3113121789082187e-05,-6.206245135352942e-06,1.0328484264740248e-05,1.2998443995182125e-05,1.5197344719359005e-05,1.4190486781977543e-05,1.15210436257485e-05,1.0044828373898025e-05,9.496799394585773e-06,8.468455317316273e-06,7.995406853024761e-06,7.4067601796133845e-06,6.280310553734491e-06,5.2625120165500534e-06,5.2690192027929735e-06,5.145367817887329e-06,2.329629785431534e-06,-7.149033260538129e-07
2021-06-25 08:00:00,5.5325424426402286e-06,2.094529231346412e-05,-9.516159674033496e-06,8.325546890608899e-06,1.4173632630022237e-05,1.6122437504009135e-05,1.554782962391869e-05,1.2580434964806425e-05,9.96537243031797e-06,9.066789574119195e-06,8.430452001586054e-06,8.14228498973056e-06,7.534846167110112e-06,6.340561005518627e-06,5.302703546825721e-06,5.311677334146241e-06,4.956763850194815e-06,2.2533101022704603e-06,-6.671947668131394e-07
