,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,BΦZ,BΦE,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
2021-06-25 00:00:00,572292.3546792935,106338.22239369604,2462550.204805013,484756.83413776424,1.9524665113658786,0.46333175306192753,3.6407268554905965,3.341759964710538,10.495965849881541,-2.0451882825001433,0.8005586671553574,-18.99938878912717,71.193640401544,-9.872347571173416,-7.6300450346971385,-2.433745571776488,0.09132472078184946,-1.9925350164497888,5.635899466994645,-13.730514529574567,-7.988842864671886,-0.7578525670171877,2.9310814776989647,5.567841150332663
2021-06-25 06:00:00,574264.9686481814,63299.4660383806,2584285.633292097,188177.7202989536,6.575570256661319,0.0018095700878654527,-0.5566799321424241,0.8287453471620986,5.048022015989988,-0.14769232413721767,-6.777395889696086,-7.716141238055627,38.45570389475704,9.73772739050962,1.2033212328763627,0.6206160805909731,-1.3405129941705862,-1.3860083959122151,0.3747163585431904,-8.496373470643894,0.18884481658861052,1.1332219237203809,-0.4113802947007644,-2.165657511892789
2021-06-25 12:00:00,514382.19333112414,46462.65969028835,2478737.9514940786,117713.50020594803,6.075282896169264,-0.06833979163183287,-1.8492010204839975,-0.19249997170779642,5.425583495739725,-0.5296913088016941,-3.8211704869787195,-0.669605467233115,36.64949065430311,39.80326641665285,0.9428779939654865,0.5279270503227544,4.226017647429784,0.6727855459642812,-0.6888452336895042,-2.025914194709036,4.807377256227491,-1.0937566223960506,1.078316674690012,-3.0130097762521224
2021-06-25 18:00:00,756828.9310171481,92363.80162403754,2554527.5191967105,100658.22708752322,-0.7832348020847204,-0.1929951157301017,-1.504433252757446,-0.23365047874670866,3.1874977580119843,0.49956108575465197,5.2133964296781485,-0.610719792025093,70.15219563659426,83.87926033768214,-0.8291126977429764,-0.18778659682677107,2.7996578864834603,0.046450200689390736,2.259768449375158,-0.46908391375405667,-1.364069789343346,-0.6659599254608244,-0.4937662480818682,-1.129146895739701
2021-06-26 00:00:00,635327.4140272096,48469.30836007003,2576359.9485070854,97449.07513177278,-4.4929590489696025,-0.19504089337487307,-1.3124532509225404,-0.5876748128428382,-1.6596048434860715,0.5812822952479555,4.4938353113323295,-0.1806133143101925,85.25504691990982,99.11721057287214,-2.558206388340322,-0.08425867732468442,-1.6619001660435553,-0.5988720143344081,5.02973479037656,0.37183166463551803,-4.690295264901959,6.341311778936374,-1.5727882290503286,-0.17233345913399173
2021-06-26 06:00:00,685034.8438440665,66492.53060479111,2771812.062140978,116721.3549997776,-4.612931129485552,-0.17473809667142684,-0.44692602048586827,-0.4992394999062905,-4.086172066532288,1.437580217192811,-2.2866045489457356,-0.46157656620744586,119.5101940584077,139.9529918982452,-2.0361274064528367,-0.33491981914548163,-0.13422660714527107,1.4616659014319946,10.281615881817027,2.3991969680093193,-0.835723766769962,17.628077580734182,-0.30041571899568,2.913087013637187
2021-06-26 12:00:00,629528.8245985339,111613.2753019322,3020525.754601581,201094.38414977537,-1.5365755468707367,-0.0370642548709919,0.14693208083252252,4.459846885751303,-3.727727360273822,4.362736707600648,-22.27106343915771,-2.1045689913849897,137.59108233415353,162.55208732651639,0.7445978519772192,3.0941576834519346,2.038546881118778,4.997907090033437,9.938850685754474,4.245099434281962,4.192634439650871,33.5995575909504,5.132081523055083,2.036753620748171
2021-06-26 18:00:00,773100.0691083977,282402.1168942356,3201170.411765571,300109.65056075837,-8.162117484619907,1.5893297037657579,1.2475633238596973,10.36274222003574,5.484223870486768,8.495474618138163,-30.54925920571585,-2.5145688172298204,161.51636301112725,173.31077712238024,-6.504184577046278,4.980348820450638,3.1845821817202253,6.3720126787901865,15.606225800575954,4.975171518319481,-8.872429469620691,53.070039167052016,6.649950576922006,-1.6254385606267405
2021-06-27 00:00:00,767102.7748488476,386884.22302566824,3694714.709186462,416021.79374117695,4.433943582335975,2.442817396407282,-2.655175616729412,14.578756043603919,-3.784408786330077,10.863975290201223,-23.683292398143916,-3.4631827026866135,170.52656738255303,134.5695959158962,9.405571525830224,9.571888913709957,-2.400277823297963,8.191312443324254,13.802786145540594,4.969564764212066,8.260891941775371,35.70731057807795,9.463275800319666,-8.80118419343465
2021-06-27 06:00:00,669408.0671419257,636266.8144458433,3797450.773252925,514794.8483747196,0.28199422571637794,1.9113171278850896,-6.463800054893953,15.76186393597826,-4.64606575572766,10.267476301406441,19.10641871190695,-11.139679065785275,169.11239520185418,102.97724656998497,2.4856776891432673,12.481144418238536,-6.763234883677908,10.408183525723622,-5.654789450910122,4.229237497220499,0.07614222565121942,-18.579402333639496,13.991254032410351,-6.8567474278664395
