,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,BΦZ,BΦE,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
2021-06-25 00:00:00,541964.9126059223,100416.33864199153,2322629.3108383333,558386.016593976,-0.03564729034759341,1.0086628330204284,6.950855976185725,-0.0163835873619728,10.582777025543828,-3.138023005277652,-8.782571531543775,-15.666135718906695,56.142010536358576,-35.10372841104167,-4.835487343294802,-7.313610362522027,4.564761753861546,-4.18028271915045,-4.434001290804396,-16.838652288336064,-5.044999729009447,-2.566638445098752,-2.067306134255199,5.794722994118327
2021-06-25 01:00:00,558398.0549198239,85367.32085304991,2306666.9061914375,497766.8683559661,0.22595308929689395,0.6702829077637704,5.517105812311214,0.6509236342022123,9.89118737116672,-2.058930275418684,-4.275434283511644,-19.4550537678831,49.55503457413396,-44.53034158360469,-4.524764349178839,-2.154918238266488,3.9166645025463045,-3.5274193810503895,-0.1331466922472464,-17.3620669200376,-5.078286871559753,-1.6007713103437098,-1.4878483791932635,6.959169025954505
2021-06-25 02:00:00,570164.8970242557,75018.91909842873,2321670.654654153,433379.13476970524,0.5821087339329747,0.4198918905459564,4.050586860940846,0.3613584764175662,8.4812497364904,-1.2599026433773175,-3.7710121385229534,-21.54821014585019,42.19659275065239,-51.128206882429176,-5.465067211120902,-1.3994475878433437,1.9913550637047834,-2.379321143046319,4.2388330868632895,-19.394253525251084,-5.487894048306686,3.3771496305124225,-1.1779519137973913,5.843185005122386
2021-06-25 03:00:00,572735.8113784983,68236.20862311641,2337186.504416853,358128.2429741583,0.8796835393410649,0.11476798722380084,2.5484432774270482,0.3302866176135933,7.5314529503221435,-0.5766644920806527,-0.810727697833442,-21.835090215623364,33.58298618270908,-53.834945586888146,-6.098647941686343,-1.0611526016827055,0.31416519236453394,-1.9762131540205043,6.860035967039552,-19.80347531528331,-6.222836231392744,4.242636848104881,-1.1840300315500594,4.249771560153505
2021-06-25 04:00:00,572426.8864092804,60790.184389481095,2371062.913616838,290794.1124996654,1.0405888275440471,-0.05342030436771926,1.6302976665259779,0.3036120790394371,6.433850532254657,-0.25180589265330455,0.2298036973481349,-19.909050452473227,24.632672923036026,-52.553453944381616,-6.317212566195429,-0.8234886497747642,-1.0788458585802032,-1.8657441585325816,8.027900976153775,-16.657979364340676,-6.525527867658532,5.127210784735615,-1.2569058824721204,4.577756675619094
2021-06-25 05:00:00,564968.1211967209,54802.850681681826,2394987.3914451604,238190.79155090544,1.2834440951232804,-0.12918542264365374,0.9665934397951473,0.13263159936856309,5.6264641141256675,-0.30558373244358256,-3.3281571341018625,-15.369946851785047,12.26446362407244,-50.17509833220649,-6.923926986021712,-0.2703681916199093,-2.853711812814565,-1.315238829404527,4.63295630456925,-13.378597812145651,-7.325917254460606,5.711075903752684,-0.7478380749487274,2.825310880065979
2021-06-25 06:00:00,551880.1613570155,51320.4648177685,2404420.1990097365,194468.20825221672,1.2694973622916879,-0.14790555057043434,0.7527040529502533,0.054910506126174395,5.449790604326622,-0.13815170432139318,-4.054352464741886,-11.413544828045307,5.716710910069125,-43.97344329923432,-7.268107523669118,-0.06529713641647478,-3.70355498375515,-0.963770364422265,3.4632989363052182,-10.322794693760278,-8.031753776360517,5.495449985805163,-0.6228026034042631,1.7885436811091076
2021-06-25 07:00:00,538302.5253136838,47863.70405784152,2419923.143786558,163866.66975583145,1.2689106439016862,-0.1680330645086328,0.6035114104367109,0.16431914154270486,5.708366087392022,-0.10494554169380849,-3.547145793332339,-8.307618299397854,1.4318374639641576,-42.29873312285636,-7.554974334546119,-0.1294661898991817,-3.962081957317779,-1.065502848304658,2.612470615033914,-7.716957953324761,-8.569570465316747,4.287194354027856,-0.628205100559512,1.0298526149670986
2021-06-25 08:00:00,523353.1712643275,43648.844309974964,2423229.9874379807,138906.11098827844,1.2540628173628618,-0.14710781061429684,0.39083501123498965,0.1800292766168824,5.781601183249343,-0.21625274487913684,-3.5576360045484745,-6.3469715284024195,0.8189399532797916,-39.212571021235114,-7.683532059477703,-0.23486206601343296,-4.135402616678216,-1.146948654566683,0.11270311868348573,-6.365516629337427,-8.810048793178993,2.025441294634109,-0.6035588224563668,0.19226063368309987
2021-06-25 09:00:00,508527.6264736006,39605.6737449614,2420734.606241079,118034.95002460197,1.1715260039557902,-0.0871872124478733,0.09320533370701901,0.061511164572214866,6.0065756508853365,-0.4329914492295761,-3.2906893951663028,-4.6892050684506525,-1.0102599179235523,-35.21775013597586,-8.02871057657187,-0.09300111192872018,-4.249353913255488,-0.9608412162736466,-3.6913497823412764,-4.988568615578542,-9.171590772632907,-1.6653917248377823,-0.37915139002398235,-0.26766937799308543
