time,10000.0,15000.0,20000.0,25000.0,30000.0,35000.0,40000.0,45000.0,50000.0,55000.0,60000.0,65000.0,70000.0,75000.0,80000.0,85000.0,90000.0,95000.0,100000.0
2021-06-25 00:00:00,1.566421411361266e-06,7.062954442370446e-06,2.4337073018593028e-05,2.3248278478829902e-05,8.911699027893873e-06,8.114419603837737e-06,3.495445302918524e-06,5.088773235780559e-06,5.165814680115575e-06,4.240441207723873e-06,3.600954683963831e-06,3.875415021969585e-06,5.013440642085714e-06,7.67138367934511e-06,1.16751887619797e-05,1.534357950878493e-05,1.9204098145991776e-05,2.4740783241206014e-05,1.5882165956230432e-05
2021-06-25 01:00:00,1.5309527786117169e-06,9.03657771252032e-06,3.0349376909203125e-05,2.828988588790181e-05,1.1449607691465325e-05,9.592446558125998e-06,5.2944767113430236e-06,6.661226037040383e-06,6.526908703665004e-06,5.079718470676656e-06,4.3400819702087926e-06,5.1973103310401626e-06,6.872702245617652e-06,9.575853058045676e-06,1.3570557658934915e-05,1.7020490701525216e-05,2.115850416377107e-05,2.5493528589154718e-05,2.0459867705370678e-05
2021-06-25 02:00:00,1.3824795947133324e-06,1.1112908058359622e-05,3.530629022779476e-05,3.3316283036940806e-05,1.4267417867370222e-05,1.06977280132019e-05,6.898468989630697e-06,8.192182854390448e-06,8.085728699460791e-06,6.352919861987795e-06,5.7255184236272085e-06,7.0428601489248505e-06,9.036603204926271e-06,1.169613806500154e-05,1.5463659769682888e-05,1.8809008946217775e-05,2.339083086150818e-05,2.8291958512795177e-05,2.2596835555027184e-05
2021-06-25 03:00:00,1.1756651482849502e-06,1.300971944982698e-05,3.9150350623157064e-05,3.856952238586584e-05,1.696031222932971e-05,1.1774874337302232e-05,8.353598970013216e-06,9.69258913804457e-06,9.8473355149038e-06,8.453541256181791e-06,8.049302744629083e-06,9.601775755943702e-06,1.1789929245320997e-05,1.4202502399018799e-05,1.7480268961864528e-05,2.0692793492699628e-05,2.581416345930276e-05,3.155696997097112e-05,2.4757447175092247e-05
2021-06-25 04:00:00,8.495872881824203e-07,1.4156060510944215e-05,4.427387886091472e-05,4.377846227179357e-05,2.0163086643345832e-05,1.3234474105830201e-05,1.0116770288742133e-05,1.1342733811305053e-05,1.1638449042952486e-05,1.0830157822903351e-05,1.0879720767441911e-05,1.2553617590659585e-05,1.4361389958674332e-05,1.6357407824029805e-05,1.93199815274674e-05,2.248548795158615e-05,2.8184077014320102e-05,3.4135529188945835e-05,2.6389756648958527e-05
2021-06-25 05:00:00,5.183510836900571e-07,1.4870284584135313e-05,4.7902608532533036e-05,4.8236349776861355e-05,2.3110132358449803e-05,1.4708647217817054e-05,1.1733247797077815e-05,1.3339872707297521e-05,1.383728579762491e-05,1.349861200128961e-05,1.3893185654223903e-05,1.533978206971889e-05,1.640224481589706e-05,1.7794020888691912e-05,2.027387123772367e-05,2.3465011885219507e-05,2.983979090277796e-05,3.571860626744966e-05,2.7254945310606574e-05
2021-06-25 06:00:00,2.529824401661938e-07,1.564254512433332e-05,5.0991209426382716e-05,5.3014631341283896e-05,2.671895077599271e-05,1.628634461486317e-05,1.3341917310844598e-05,1.562599159802846e-05,1.6281406791049378e-05,1.635896829762708e-05,1.696519932510859e-05,1.8042912604291935e-05,1.8216073186388092e-05,1.8650122657150722e-05,2.046570886700218e-05,2.3729130772520877e-05,3.063810414858354e-05,3.6360182556405964e-05,2.752170147204089e-05
2021-06-25 07:00:00,1.7874283077138977e-07,1.5403574624172363e-05,5.296890659039299e-05,5.6427679859948984e-05,2.9818424267575114e-05,1.7629846692509832e-05,1.4639574297787006e-05,1.7052973559845214e-05,1.7807088336774108e-05,1.8615257083500962e-05,1.9822040417022388e-05,2.0591368761229973e-05,1.9734513238109782e-05,1.9121174374501345e-05,2.0157824953664825e-05,2.3137116039492917e-05,3.0156331791863577e-05,3.5715668027830914e-05,2.7054193161361755e-05
2021-06-25 08:00:00,2.9893833805393843e-07,1.4732303989589552e-05,5.450672633115132e-05,6.077222393485133e-05,3.293893018771736e-05,1.972304682570454e-05,1.6341301594231097e-05,1.7840888880008364e-05,1.8698228198484228e-05,2.0431871693806158e-05,2.2174481067239905e-05,2.262784466711134e-05,2.1040184314845326e-05,1.972778110986784e-05,1.995480886133487e-05,2.2156734425316944e-05,2.901385414649388e-05,3.455440773243309e-05,2.6172781673663534e-05
